share,share_pct,state,P_static_s,source
0.50,50,36,0.46623466,conditional_logit_mean_over_5_seeds
0.50,50,37,0.64939678,conditional_logit_mean_over_5_seeds
0.50,50,38,0.61175941,conditional_logit_mean_over_5_seeds
0.50,50,39,0.57273395,conditional_logit_mean_over_5_seeds
0.50,50,40,0.53278440,conditional_logit_mean_over_5_seeds
0.50,50,41,0.70743102,conditional_logit_mean_over_5_seeds
0.50,50,42,0.67289940,conditional_logit_mean_over_5_seeds
0.50,50,43,0.63637298,conditional_logit_mean_over_5_seeds
0.50,50,44,0.59819662,conditional_logit_mean_over_5_seeds
0.50,50,45,0.75939387,conditional_logit_mean_over_5_seeds
0.50,50,46,0.72866180,conditional_logit_mean_over_5_seeds
0.50,50,47,0.69555877,conditional_logit_mean_over_5_seeds
0.50,50,48,0.66028594,conditional_logit_mean_over_5_seeds
0.50,50,49,0.58043770,conditional_logit_mean_over_5_seeds
0.50,50,50,0.54063181,conditional_logit_mean_over_5_seeds
0.50,50,51,0.50030909,conditional_logit_mean_over_5_seeds
0.50,50,52,0.45999972,conditional_logit_mean_over_5_seeds
0.50,50,53,0.64364078,conditional_logit_mean_over_5_seeds
0.50,50,54,0.60575867,conditional_logit_mean_over_5_seeds
0.50,50,55,0.56656009,conditional_logit_mean_over_5_seeds
0.50,50,56,0.52651808,conditional_logit_mean_over_5_seeds
0.50,50,57,0.70219375,conditional_logit_mean_over_5_seeds
0.50,50,58,0.66732807,conditional_logit_mean_over_5_seeds
0.50,50,59,0.63051840,conditional_logit_mean_over_5_seeds
0.50,50,60,0.59212311,conditional_logit_mean_over_5_seeds
0.50,50,61,0.75477078,conditional_logit_mean_over_5_seeds
0.50,50,62,0.72365325,conditional_logit_mean_over_5_seeds
0.50,50,63,0.69019194,conditional_logit_mean_over_5_seeds
0.50,50,64,0.65460267,conditional_logit_mean_over_5_seeds
0.70,70,1,0.59767409,conditional_logit_mean_over_5_seeds
0.70,70,2,0.55950388,conditional_logit_mean_over_5_seeds
0.70,70,3,0.52061830,conditional_logit_mean_over_5_seeds
0.70,70,4,0.48150357,conditional_logit_mean_over_5_seeds
0.70,70,5,0.65916979,conditional_logit_mean_over_5_seeds
0.70,70,6,0.62315624,conditional_logit_mean_over_5_seeds
0.70,70,7,0.58571772,conditional_logit_mean_over_5_seeds
0.70,70,8,0.54727113,conditional_logit_mean_over_5_seeds
0.70,70,9,0.71572474,conditional_logit_mean_over_5_seeds
0.70,70,10,0.68281504,conditional_logit_mean_over_5_seeds
0.70,70,11,0.64794778,conditional_logit_mean_over_5_seeds
0.70,70,12,0.61142504,conditional_logit_mean_over_5_seeds
0.70,70,13,0.76621064,conditional_logit_mean_over_5_seeds
0.70,70,14,0.73700271,conditional_logit_mean_over_5_seeds
0.70,70,15,0.70551934,conditional_logit_mean_over_5_seeds
0.70,70,16,0.67193008,conditional_logit_mean_over_5_seeds
0.70,70,17,0.59024254,conditional_logit_mean_over_5_seeds
0.70,70,18,0.55189625,conditional_logit_mean_over_5_seeds
0.70,70,19,0.51292435,conditional_logit_mean_over_5_seeds
0.70,70,20,0.47381721,conditional_logit_mean_over_5_seeds
0.70,70,21,0.65221822,conditional_logit_mean_over_5_seeds
0.70,70,22,0.61589823,conditional_logit_mean_over_5_seeds
0.70,70,23,0.57822692,conditional_logit_mean_over_5_seeds
