model,llm_mvr,llm_rho,llm_prc,nds_mvr,nds_rho,nds_prc,bdt_mvr,bdt_rho,bdt_prc
DeepSeek V3,0.5,0.0,0.5,0.0,-0.9428090415820634,0.5,0.5,0.8944271909999159,0.5
Qwen2.5-72B,0.0,-0.4472135954999579,0.0,0.0,-0.4472135954999579,0.0,0.0,0.8944271909999159,0.0
