model,condition,MSE,MAE,MVR_Wait,MVR_Wait_total,MVR_SE,MVR_SE_total,rho
Qwen2.5-72B-Instruct,Raw,0.025783647940091976,0.12693149204403514,60,96,53,96,0.06076494244093296
Qwen2.5-72B-Instruct,EFR,0.0016114779962557485,0.03173287301100878,29,96,45,96,0.6885531135531134
DeepSeek V4,Raw,0.03789437281329339,0.15698940246166054,33,96,14,96,0.30248138068328734
DeepSeek V4,EFR,0.0023683983008308362,0.03924735061541512,7,96,13,96,0.8122710622710622
MiroThinker-1.7-mini,Raw,0.0871733452802787,0.2643788404887314,10,96,32,96,0.5305515652948177
MiroThinker-1.7-mini,EFR,0.005448334080017419,0.06609471012218285,8,96,32,96,0.7563644688644688
