model,method,MSE,MAE,CHR_Wait,CHR_SE,Spearman_rho,Pearson_r,selected_lambda,parse_success_rate
Qwen2.5-72B,Unconstrained LLM,0.02583816,0.12708321,0.6250,0.5521,0.0608,0.0664,,0.9984
Qwen2.5-72B,Static-BDT Anchor (λ=0.25),0.00161489,0.03177080,0.3021,0.4688,0.6908,0.6661,0.25,0.9984
Qwen2.5-72B,Static-BDT Anchor (λ=0.50),0.00645954,0.06354161,0.5104,0.5312,0.3255,0.3236,0.50,0.9984
Qwen2.5-72B,Static-BDT Anchor (λ=0.75),0.01453397,0.09531241,0.5729,0.5417,0.1502,0.1564,0.75,0.9984
Qwen2.5-72B,"Static-BDT Anchor (MSE-opt, λ=0.25)",0.00161489,0.03177080,0.3021,0.4688,0.6908,0.6661,0.25,0.9984
