share,benchmark,MSE,MVR_Wait,rho
30%,Full-sample canonical empirical frontier,0.0020022992653783126,0.32916666666666666,0.6460989010989009
30%,Subsample-reestimated frontier,0.0016051229919553753,0.32916666666666666,0.6366025641025641
50%,Full-sample canonical empirical frontier,0.001710017505409641,0.30833333333333335,0.6829945054945055
50%,Subsample-reestimated frontier,0.001620692769438858,0.30833333333333335,0.6701465201465201
70%,Full-sample canonical empirical frontier,0.0016950143105997541,0.3083333333333333,0.6797344322344322
70%,Subsample-reestimated frontier,0.0016167579877434564,0.3083333333333333,0.6682051282051281
100%,Full-sample canonical empirical frontier,0.0016114779962557485,0.3020833333333333,0.6885531135531134
100%,Subsample-reestimated frontier,0.0016114779962557485,0.3020833333333333,0.6885531135531134
