model,data_source,timing_quality,first_timestamp_utc,last_timestamp_utc,n_generations,wall_clock_seconds,avg_seconds_per_generation,wall_clock_log_seconds,wall_clock_log_source,post_processing_seconds,post_processing_source,notes
Qwen2.5-72B,csv_checkpoint:llm_raw_outputs_qwen72b_unconstrained.csv,exact,2026-05-19T03:58:32.614473+00:00,2026-05-19T15:08:44.667590+00:00,640,40129.0,62.930,40129.0,log:qwen72b_local_run.log,5776.9,mtime_gap_to:metrics_table1_qwen72b_static_lambda_sensitivity.csv,
DeepSeek V4 Pro,csv_checkpoint:llm_raw_outputs_deepseek_unconstrained.csv,exact,2026-05-19T02:38:44.541228+00:00,2026-05-19T03:16:35.907973+00:00,640,2271.4,3.555,,,152.6,mtime_gap_to:metrics_table1_deepseek_static_lambda_sensitivity.csv,
MiroThinker-1.7-mini,csv_checkpoint:llm_raw_outputs_mirothinker_unconstrained.csv,exact,2026-05-19T17:37:48.997458+00:00,2026-05-19T17:42:02.204620+00:00,640,254.0,0.396,254.0,log:mirothinker_local_run.log,208.7,mtime_gap_to:metrics_table1_mirothinker_static_lambda_sensitivity.csv,
