alpha,beta
0.9303980259117361,1.735183793124467
0.7584440541419998,1.4104223005774736
0.7616474694820297,1.447831653789437
0.6991666297770617,1.342428807720338
0.8677526713241637,1.5545330368512735
0.7607433010644279,1.4125363447173829
0.7583429126854591,1.378607458372215
0.8214938609996516,1.5714519762718975
0.8418901184310403,1.453247280123866
0.8700144350174441,1.553542137223989
0.8298286699774344,1.4807116792272619
0.8254250918168764,1.5463185842632485
0.8468374806750656,1.6114499084008251
0.8573430168612883,1.6705730371231842
0.7116513057161498,1.3954203687516298
0.7999336924842018,1.5329772868015428
0.7737219022217408,1.5085743860690464
0.849270255012298,1.5727373414540753
0.8113919195813182,1.4744442536019715
0.7775372239738274,1.478676473061623
0.8171073146856784,1.4981556548216985
0.7774184035282453,1.5288887479994218
0.7717123011750378,1.4339117862669233
0.866619904866889,1.6054614153741276
0.8024585940857125,1.545756917669153
0.8193072979138749,1.5646921637935294
0.8231186002998431,1.5561292478928586
0.7839591718109378,1.497233037833461
0.8395222168034409,1.5125322050884584
0.7601464364809163,1.4020315298809511
0.8063867219595192,1.4790551519101371
0.9574002794575838,1.8105661669863284
0.7603608643240289,1.4519353350961566
0.6902099072914033,1.3925128583942183
0.7885745320103565,1.553250447870874
0.8261474130056751,1.5305737729020288
0.6255214572523707,1.3473827614168774
0.7672099117555492,1.4575695602351284
0.7248308607650882,1.3549906512347962
0.8303434876618205,1.5220014609014632
0.7771241513638123,1.4851497192889802
0.7821716993899307,1.5176773229822018
0.8109993041603968,1.4810168725869781
0.7952275238885054,1.502562481970877
0.835782758343048,1.5482223331422786
0.8289374498115194,1.5168005115056795
0.8974039487820469,1.5929707363938108
0.8763110923747083,1.5523680818950876
0.9184086446301357,1.6111110776271218
0.787349824799386,1.439083051578531
0.778866781750733,1.5448054395240158
0.8564548947192494,1.553538031707764
0.8371433094888359,1.5974857902587354
0.8155976413745251,1.5315583877723404
0.8166172021285649,1.515361414133326
0.861956380322746,1.5439612018130753
0.7997796549023455,1.5419545908418406
0.7065044653597048,1.3344316682906516
0.7614464885384389,1.4527394032480663
0.8890522773246395,1.699496282871129
0.82778968478407,1.5917098204549756
0.9095501660540104,1.6809714716406563
0.9017331561966064,1.546412006005561
0.7175786682001644,1.50437662382387
0.8827973857481811,1.6554636373740017
0.83064398942007,1.5614397553820658
0.7512882336881296,1.4018365753324988
0.752568751199512,1.4119270573859266
0.8452489094767799,1.5797898665725367
0.8799715935134889,1.5992925460979959
0.7163594733530698,1.410041740339674
0.894387092865251,1.6491223526582002
0.934384472046732,1.6546700818001447
0.7126088076495939,1.436927700390489
0.865434305122338,1.569217029629896
0.8843989759949876,1.6481170872295932
0.834190192914096,1.5123146663428657
0.7288992853849874,1.5276776692871257
0.8173069084346352,1.5794033520748276
0.8585233038007286,1.5896311616924175
0.8151982722819913,1.5417547764431576
0.8214086397650578,1.5064171666518522
0.8443943230314019,1.5879929622640252
0.8639111684163652,1.600009272341862
0.7566857101549813,1.483521391159629
0.8126958443850276,1.5452049361550448
0.7470733962509672,1.3775337738684734
0.7365167189556646,1.4183543663956204
0.8183896088385616,1.5594958307887405
0.9069307401440382,1.6569822885221572
0.7956774657790527,1.4132309406976142
0.7919465096420275,1.5048661358392763
0.8160703107213958,1.61818071714541
0.6946359257591082,1.247679396640236
0.9246990675431355,1.7013915967562265
0.8771960617214111,1.6799728397573688
0.8030586248916183,1.5250046806283486
0.8535812404603842,1.5380924326654433
0.8073078187969476,1.5105797826959289
0.8876395636875158,1.5598291329221963
0.9232167653465979,1.621850230632084
0.8143550466014411,1.4571296617073843
0.738307118813097,1.37884559362462
0.7897232735332109,1.5254675768565673
0.8026047360273032,1.5203263667060263
0.8248197932315625,1.5133014649139218
0.7610288594777084,1.5101193996090103
0.8202008475128926,1.4695010054954694
0.9157475912776645,1.6428088066659392
0.7960058648733348,1.564004869082594
0.7716094389141235,1.4629692559935803
0.8723164941227849,1.5653244580386119
0.7115835323874798,1.410545921469109
0.7380909211618645,1.476190550260652
0.7309154548719803,1.3492726177422325
0.9263661573321282,1.7099345282857445
0.8347585478321554,1.618004581423977
0.8904629011081373,1.6416374252038806
0.9050154917429768,1.6885501579757736
0.8019204184976119,1.504032578693287
0.7825240288169664,1.4771732557560209
0.8054188718336546,1.5433980082985412
0.7844378370035495,1.4753979850587944
0.8596366709086358,1.533367349297202
0.779640213952769,1.4648541293723258
0.8081783967068603,1.5343984104403827
0.7555081070232861,1.5228457553222898
0.8999890020821285,1.7064146961773097
0.8217558677195308,1.5663407544855832
0.7745526575177033,1.3917327182582968
0.9144098047385859,1.7108324266409611
0.6915963859990029,1.3883835082787173
0.7737496800667052,1.4914397551643526
0.6717544509015978,1.4760581866886935
0.8264535635832577,1.4970249598324759
0.9560184405773536,1.693277582565307
0.7863696350676734,1.519670047251846
0.7594320337300203,1.5099322517543787
0.8244530226509587,1.5568063831441055
0.8486321015567193,1.5137240723662828
0.797968627179316,1.498135743645261
0.7661425840323626,1.470048238272508
0.9308926304165518,1.6405813767410842
0.8980547744580707,1.5872616073574028
0.8100679680238497,1.4550491327016688
0.6902664004674339,1.3013628108534385
0.8482514612855752,1.574546454672666
0.8490568029714278,1.5262959251701385
0.8361859973569843,1.484504964027812
0.830109897819737,1.5908753290359616
0.7281556838980532,1.358014501445013
0.766938768864519,1.422372758907582
0.8865035508189779,1.6313525961952797
0.7407862971512084,1.4028351937553714
0.8498395022602845,1.6431102818252212
0.8566615817277133,1.51759427915778
0.8232053212639987,1.589632336467449
0.8654526695355479,1.4803753945055513
0.7819503793766358,1.3709661649754077
0.780138225893829,1.5167015168901485
0.8257718212718936,1.6208385223471478
0.7860402047199688,1.571004640373841
0.7962649805587447,1.5589762869166446
0.7889157511983558,1.5359665717241628
0.7095721740492047,1.4413682030497097
