model,metric,point,CI_low,CI_high,n_boot
Pure-DCE,log_loss,0.6789485134515196,0.6649001911557005,0.6931914784287598,2000
Pure-DCE,brier,0.24240769613477017,0.23598736730532838,0.24881791804417452,2000
Pure-DCE,AUC,0.712710033022533,0.6762055099934932,0.7482206159916965,2000
Static-BDT,log_loss,0.6984772974855901,0.6887925034318578,0.708755535735095,2000
Static-BDT,brier,0.25232863675576733,0.24766211234213872,0.25722524189355195,2000
Static-BDT,AUC,0.6684816919191919,0.6429024670102416,0.6936277678952729,2000
LLM,log_loss,0.8272822436899128,0.8052735779303948,0.8488406341693964,2000
LLM,brier,0.31381304578597785,0.30335611728253287,0.32398249997344936,2000
LLM,AUC,0.21363879176379175,0.17794199297432353,0.2514554399020105,2000
