model,raw_MSE,raw_MAE,raw_MVR_Wait,raw_MVR_SE,raw_Spearman,efr_MSE,efr_MAE,efr_MVR_Wait,efr_MVR_SE,efr_Spearman
Qwen2.5-72B-Instruct,0.0202,0.1151,0.5521,0.625,0.2413,0.0013,0.0288,0.2083,0.6042,0.7508
DeepSeek V4,0.048,0.1913,0.1562,0.3854,0.6362,0.003,0.0478,0.0625,0.3438,0.9025
MiroThinker-1.7-mini,0.083,0.2569,0.7396,0.7083,0.3676,0.0052,0.0642,0.3229,0.1042,0.6129
