term,coef,std_err,p_value
const,-1.47774244,0.03455371,0
wait,-0.06077090,0.00944697,1.2523493e-10
eff,0.92671248,0.08738519,0
se,0.02149424,0.02337455,0.357804
cash,0.00150862,0.00006397,0
