model,lambda,MSE,MAE,CHR_Wait,CHR_SE,Spearman_rho,Pearson_r
Qwen2.5-72B,0.25,0.00301230,0.04694643,0.0417,0.2708,0.9520,0.9548
Qwen2.5-72B,0.50,0.01204919,0.09389286,0.2396,0.4792,0.7480,0.7300
Qwen2.5-72B,0.75,0.02711068,0.14083930,0.4792,0.5312,0.3168,0.3332
Qwen2.5-72B,1.00,0.04819677,0.18778573,0.6250,0.5521,-0.0238,-0.0039
