stratum,N,BDT_log_loss,BDT_brier,BDT_rho_Pemp,LLM_log_loss,LLM_brier,LLM_rho_Pemp
All,813,0.6984772974855901,0.25232863675576733,0.9166722102895141,0.8272822436899128,0.31381304578597785,-0.6256720501140306
Age < 55,633,0.6977568324669041,0.25202296980226047,0.9155174996512511,0.8346857798344715,0.3172994548731437,-0.6280672900752838
Age >= 55,180,0.7010109328013019,0.2534035655422664,0.9220339262798689,0.8012464749148814,0.30155250716277776,-0.6171830341369732
Female,472,0.6900648145796162,0.2483293363053498,0.8965109971593705,0.8154297128896859,0.30815417354258473,-0.6272279873388766
Male,341,0.7101215553495773,0.2578643253557587,0.9370938530880297,0.8436880927740977,0.32164585428709674,-0.6216341158401019
College or Univ,164,0.6941880530817031,0.24994986501099417,0.9497762714082767,0.8102387449609842,0.3059175612481707,-0.5604090746294221
Below College,649,0.6995611743457402,0.25292974394550966,0.9055718593111767,0.8315890754180243,0.31580820674776583,-0.6421052845652416
