"","Estimate","Std. Error","z-value","Pr(>|z|)"
"WaitTime",-0.267426961143876,0.0322555453924143,-8.2908832540394,2.22044604925031e-16
"VaccineOrigin",0.511949614020577,0.0704438408340691,7.26748581506902,3.66151553521377e-13
"VaccineEfficacy",1.45935301943801,0.164461441414312,8.8735268698126,0
"SideEffects",-0.101652067989077,0.0373492927615389,-2.7216597818354,0.00649549757920753
"CashIncentives",0.00288621125361163,0.000315502073445329,9.14799456654525,0
"sd.WaitTime",0.914718425061025,0.10150381281196,9.01166566772795,0
"sd.VaccineEfficacy",-0.705181400369715,0.382943933086039,-1.84147427193024,0.065552087493201
"sd.CashIncentives",0.00596829520603914,0.000705019888341413,8.46542814569358,0
