model,method,MSE,MAE,CHR_Wait,CHR_SE,Spearman_rho,Pearson_r,selected_lambda,parse_success_rate
MiroThinker-1.7-mini,Unconstrained LLM,0.06690923,0.20343031,0.1042,0.3333,0.4589,0.4860,,1.0000
MiroThinker-1.7-mini,Static-BDT Anchor (λ=0.25),0.00418183,0.05085758,0.0000,0.3229,0.9235,0.9250,0.25,1.0000
MiroThinker-1.7-mini,Static-BDT Anchor (λ=0.50),0.01672731,0.10171516,0.0417,0.3333,0.7750,0.7635,0.50,1.0000
MiroThinker-1.7-mini,Static-BDT Anchor (λ=0.75),0.03763644,0.15257274,0.0938,0.3333,0.6517,0.6075,0.75,1.0000
MiroThinker-1.7-mini,"Static-BDT Anchor (MSE-opt, λ=0.25)",0.00418183,0.05085758,0.0000,0.3229,0.9235,0.9250,0.25,1.0000
