model,method,MSE,MAE,CHR_Wait,CHR_SE,Spearman_rho,Pearson_r,selected_lambda,parse_success_rate
Qwen2.5-72B,Unconstrained LLM,0.04819677,0.18778573,0.6250,0.5521,-0.0238,-0.0039,,0.9984
Qwen2.5-72B,Static-BDT Anchor (λ=0.25),0.00301230,0.04694643,0.0417,0.2708,0.9520,0.9548,0.25,0.9984
Qwen2.5-72B,Static-BDT Anchor (λ=0.50),0.01204919,0.09389286,0.2396,0.4792,0.7480,0.7300,0.50,0.9984
Qwen2.5-72B,Static-BDT Anchor (λ=0.75),0.02711068,0.14083930,0.4792,0.5312,0.3168,0.3332,0.75,0.9984
Qwen2.5-72B,"Static-BDT Anchor (MSE-opt, λ=0.25)",0.00301230,0.04694643,0.0417,0.2708,0.9520,0.9548,0.25,0.9984
